Jugador,goles a favor,goles de cabeza,goles de penalti,goles a favor con pie izquierdo,goles a favor con pie derecho,tarjetas amarillas,tarjetas rojas,faltas cometidas,faltas recibidas,balones recuperados,balones perdidos,regates conseguidos,regateado,pases buenos,pases totales,asistencias,remates,parada ,goles en contra 
Stiwart Acuna,0,0,0,0,0,2,0,4,1,5,21,0,1,36,45,0,6,0,0
Victor Cantillo,3,0,0,0,3,7,0,17,69,159,189,32,8,1393,1521,1,22,0,0
Edwin Cetre,4,0,0,2,2,2,0,24,44,47,135,17,18,214,255,1,30,0,0
Jose Luis Chunga,0,0,0,0,0,0,0,0,0,12,9,0,0,12,21,0,0,6,2
Willer Ditta,0,0,0,0,0,2,0,10,8,87,114,4,2,703,801,0,1,0,0
Edder Farias,0,0,0,0,0,0,0,8,5,2,26,1,0,58,74,0,9,0,0
Matias Fernandez,0,0,0,0,0,1,0,1,5,4,4,2,0,18,21,0,1,0,0
Gabriel Fuentes,0,0,0,0,0,1,2,24,25,99,200,16,11,586,693,0,6,0,0
Luis Gonzalez,1,0,0,0,1,3,0,22,20,54,205,22,12,316,400,1,25,0,0
German Gutierrez,0,0,0,0,0,1,0,2,1,10,17,0,0,73,80,0,0,0,0
Teofilo Gutierrez,5,0,1,1,4,9,1,59,36,58,299,15,13,629,823,6,35,0,0
Cesar Haydar,0,0,0,0,0,0,0,0,2,4,21,1,0,43,63,0,1,0,0
S. Hernandez,0,0,0,0,0,1,0,8,7,18,71,3,1,300,349,0,5,0,0
Hinestroza,1,0,0,1,0,3,0,22,29,64,163,15,6,386,451,2,13,0,0
Ivan Luquetta,0,0,0,0,0,0,0,0,2,0,4,0,0,2,2,0,0,0,0
German Mera,2,2,0,0,0,4,1,20,5,61,135,5,1,599,721,0,14,0,0
Daniel Moreno,3,0,0,0,0,1,0,28,22,63,225,19,24,320,414,1,18,0,0
David Murillo,0,0,0,0,0,1,0,8,10,47,88,2,1,299,347,0,1,0,0
Luis Narvaez,3,0,3,0,3,5,0,28,6,63,107,2,1,711,808,1,8,0,0
Orozco,0,0,0,0,0,0,0,3,7,14,60,6,4,74,98,0,5,0,0
Leonardo Pico,0,0,0,0,0,7,0,36,20,82,99,8,6,644,724,0,3,0,0
Marlon Piedrahita,1,0,0,0,0,3,1,25,22,79,247,8,9,563,694,0,8,0,0
Rafael Perez,0,0,0,0,0,10,0,30,19,61,115,1,1,468,573,0,2,0,0
Luis Sandoval,3,0,2,0,3,4,0,21,11,19,57,5,8,138,174,1,12,0,0
James Sanchez,0,0,0,0,0,3,0,13,14,53,166,9,9,477,573,0,14,0,0
Viera,0,0,0,0,0,2,0,0,6,207,292,0,0,313,600,0,8,65,15
